REGION,TECHNOLOGY,YEAR,VALUE
REGION1,SEBFHPFH1,2015,190.6852299
REGION1,SEBFHPFH1,2016,189.3829893
REGION1,SEBFHPFH1,2017,188.0807487
REGION1,SEBFHPFH1,2018,186.7785081
REGION1,SEBFHPFH1,2019,185.4762675
REGION1,SEBFHPFH1,2020,184.1740269
REGION1,SEBFHPFH1,2021,183.6159238
REGION1,SEBFHPFH1,2022,183.0578207
REGION1,SEBFHPFH1,2023,182.4997176
REGION1,SEBFHPFH1,2024,181.9416145
REGION1,SEBFHPFH1,2025,181.3835114
REGION1,SEBFHPFH1,2026,180.8254083
REGION1,SEBFHPFH1,2027,180.2673051
REGION1,SEBFHPFH1,2028,179.709202
REGION1,SEBFHPFH1,2029,179.1510989
REGION1,SEBFHPFH1,2030,178.5929958
REGION1,SEBFHPFH1,2031,178.0348927
REGION1,SEBFHPFH1,2032,177.4767896
REGION1,SEBFHPFH1,2033,176.9186865
REGION1,SEBFHPFH1,2034,176.3605834
REGION1,SEBFHPFH1,2035,175.8024802
REGION1,SEBFHPFH1,2036,175.2750728
REGION1,SEBFHPFH1,2037,174.7492476
REGION1,SEBFHPFH1,2038,174.2249998
REGION1,SEBFHPFH1,2039,173.7023248
REGION1,SEBFHPFH1,2040,173.1812179
REGION1,SEBFHPFH1,2041,172.6616742
REGION1,SEBFHPFH1,2042,172.1436892
REGION1,SEBFHPFH1,2043,171.6272581
REGION1,SEBFHPFH1,2044,171.1123764
REGION1,SEBFHPFH1,2045,170.5990392
REGION1,SEBFHPFH1,2046,170.0872421
REGION1,SEBFHPFH1,2047,169.5769804
REGION1,SEBFHPFH1,2048,169.0682494
REGION1,SEBFHPFH1,2049,168.5610447
REGION1,SEBFHPFH1,2050,168.0553616
REGION1,SEBFHPFH1,2051,167.5511955
REGION1,SEBFHPFH1,2052,167.0485419
REGION1,SEBFHPFH1,2053,166.5473963
REGION1,SEBFHPFH1,2054,166.0477541
REGION1,SEBFHPFH1,2055,165.5496108
REGION1,SEBFHPFH1,2056,165.052962
REGION1,SEBFHPFH1,2057,164.5578031
REGION1,SEBFHPFH1,2058,164.0641297
REGION1,SEBFHPFH1,2059,163.5719373
REGION1,SEBFHPFH1,2060,163.0812215
REGION1,SEBMCCPH1,2015,128.6071507
REGION1,SEBMCCPH1,2016,123.7524476
REGION1,SEBMCCPH1,2017,118.8977446
REGION1,SEBMCCPH1,2018,114.0430415
REGION1,SEBMCCPH1,2019,109.1883384
REGION1,SEBMCCPH1,2020,104.3336353
REGION1,SEBMCCPH1,2021,102.4988968
REGION1,SEBMCCPH1,2022,100.6641584
REGION1,SEBMCCPH1,2023,98.82941991
REGION1,SEBMCCPH1,2024,96.99468144
REGION1,SEBMCCPH1,2025,95.15994297
REGION1,SEBMCCPH1,2026,93.3252045
REGION1,SEBMCCPH1,2027,91.49046603
REGION1,SEBMCCPH1,2028,89.65572756
REGION1,SEBMCCPH1,2029,87.82098909
REGION1,SEBMCCPH1,2030,85.98625063
REGION1,SEBMCCPH1,2031,85.16472594
REGION1,SEBMCCPH1,2032,84.34320125
REGION1,SEBMCCPH1,2033,83.52167656
REGION1,SEBMCCPH1,2034,82.70015188
REGION1,SEBMCCPH1,2035,81.87862719
REGION1,SEBMCCPH1,2036,81.0571025
REGION1,SEBMCCPH1,2037,80.23557781
REGION1,SEBMCCPH1,2038,79.41405313
REGION1,SEBMCCPH1,2039,78.59252844
REGION1,SEBMCCPH1,2040,77.77100375
REGION1,SEBMCCPH1,2041,77.00424738
REGION1,SEBMCCPH1,2042,76.237491
REGION1,SEBMCCPH1,2043,75.47073463
REGION1,SEBMCCPH1,2044,74.70397825
REGION1,SEBMCCPH1,2045,73.93722188
REGION1,SEBMCCPH1,2046,73.1704655
REGION1,SEBMCCPH1,2047,72.40370913
REGION1,SEBMCCPH1,2048,71.63695275
REGION1,SEBMCCPH1,2049,70.87019638
REGION1,SEBMCCPH1,2050,70.10344
REGION1,SEBMCCPH1,2051,69.7529228
REGION1,SEBMCCPH1,2052,69.40415819
REGION1,SEBMCCPH1,2053,69.0571374
REGION1,SEBMCCPH1,2054,68.71185171
REGION1,SEBMCCPH1,2055,68.36829245
REGION1,SEBMCCPH1,2056,68.23155586
REGION1,SEBMCCPH1,2057,68.09509275
REGION1,SEBMCCPH1,2058,67.95890257
REGION1,SEBMCCPH1,2059,67.82298476
REGION1,SEBMCCPH1,2060,67.68733879
REGION1,SEBMCHPH3,2015,111.6
REGION1,SEBMCHPH3,2016,109.37212396069538
REGION1,SEBMCHPH3,2017,107.14424792139076
REGION1,SEBMCHPH3,2018,104.91637188208615
REGION1,SEBMCHPH3,2019,102.68849584278156
REGION1,SEBMCHPH3,2020,100.46061980347692
REGION1,SEBMCHPH3,2021,100.1946946334089
REGION1,SEBMCHPH3,2022,99.92876946334088
REGION1,SEBMCHPH3,2023,99.66284429327284
REGION1,SEBMCHPH3,2024,99.39691912320482
REGION1,SEBMCHPH3,2025,99.1309939531368
REGION1,SEBMCHPH3,2026,98.86506878306878
REGION1,SEBMCHPH3,2027,98.59914361300076
REGION1,SEBMCHPH3,2028,98.33321844293272
REGION1,SEBMCHPH3,2029,98.0672932728647
REGION1,SEBMCHPH3,2030,97.80136810279669
REGION1,SEBMCHPH3,2031,97.56499017384732
REGION1,SEBMCHPH3,2032,97.32861224489795
REGION1,SEBMCHPH3,2033,97.0922343159486
REGION1,SEBMCHPH3,2034,96.85585638699924
REGION1,SEBMCHPH3,2035,96.61947845804988
REGION1,SEBMCHPH3,2036,96.38310052910052
REGION1,SEBMCHPH3,2037,96.14672260015118
REGION1,SEBMCHPH3,2038,95.91034467120184
REGION1,SEBMCHPH3,2039,95.67396674225246
REGION1,SEBMCHPH3,2040,95.43758881330312
REGION1,SEBMCHPH3,2041,95.11256916099774
REGION1,SEBMCHPH3,2042,94.78754950869236
REGION1,SEBMCHPH3,2043,94.462529856387
REGION1,SEBMCHPH3,2044,94.13751020408164
REGION1,SEBMCHPH3,2045,93.81249055177626
REGION1,SEBMCHPH3,2046,93.48747089947088
REGION1,SEBMCHPH3,2047,93.16245124716552
REGION1,SEBMCHPH3,2048,92.83743159486016
REGION1,SEBMCHPH3,2049,92.5124119425548
REGION1,SEBMCHPH3,2050,92.18739229024942
REGION1,SEBMCHPH3,2051,91.68739229024942
REGION1,SEBMCHPH3,2052,91.18739229024942
REGION1,SEBMCHPH3,2053,90.68739229024942
REGION1,SEBMCHPH3,2054,90.18739229024942
REGION1,SEBMCHPH3,2055,89.68739229024942
REGION1,SEBMCHPH3,2056,89.18739229024942
REGION1,SEBMCHPH3,2057,88.68739229024942
REGION1,SEBMCHPH3,2058,88.18739229024942
REGION1,SEBMCHPH3,2059,87.68739229024942
REGION1,SEBMCHPH3,2060,87.18739229024942
REGION1,SEBMCSPN2,2015,133.4
REGION1,SEBMCSPN2,2016,132.14969009826154
REGION1,SEBMCSPN2,2017,130.89938019652303
REGION1,SEBMCSPN2,2018,129.64907029478456
REGION1,SEBMCSPN2,2019,128.3987603930461
REGION1,SEBMCSPN2,2020,127.14845049130764
REGION1,SEBMCSPN2,2021,127.14845049130764
REGION1,SEBMCSPN2,2022,127.14845049130764
REGION1,SEBMCSPN2,2023,127.14845049130764
REGION1,SEBMCSPN2,2024,127.14845049130764
REGION1,SEBMCSPN2,2025,127.14845049130764
REGION1,SEBMCSPN2,2026,127.14845049130764
REGION1,SEBMCSPN2,2027,127.14845049130764
REGION1,SEBMCSPN2,2028,127.14845049130764
REGION1,SEBMCSPN2,2029,127.14845049130764
REGION1,SEBMCSPN2,2030,127.14845049130764
REGION1,SEBMCSPN2,2031,127.14845049130764
REGION1,SEBMCSPN2,2032,127.14845049130764
REGION1,SEBMCSPN2,2033,127.14845049130764
REGION1,SEBMCSPN2,2034,127.14845049130764
REGION1,SEBMCSPN2,2035,127.14845049130764
REGION1,SEBMCSPN2,2036,127.14845049130764
REGION1,SEBMCSPN2,2037,127.14845049130764
REGION1,SEBMCSPN2,2038,127.14845049130764
REGION1,SEBMCSPN2,2039,127.14845049130764
REGION1,SEBMCSPN2,2040,127.14845049130764
REGION1,SEBMCSPN2,2041,127.14845049130764
REGION1,SEBMCSPN2,2042,127.14845049130764
REGION1,SEBMCSPN2,2043,127.14845049130764
REGION1,SEBMCSPN2,2044,127.14845049130764
REGION1,SEBMCSPN2,2045,127.14845049130764
REGION1,SEBMCSPN2,2046,127.14845049130764
REGION1,SEBMCSPN2,2047,127.14845049130764
REGION1,SEBMCSPN2,2048,127.14845049130764
REGION1,SEBMCSPN2,2049,127.14845049130764
REGION1,SEBMCSPN2,2050,127.14845049130764
REGION1,SEBMCSPN2,2051,127.14845049130764
REGION1,SEBMCSPN2,2052,127.14845049130764
REGION1,SEBMCSPN2,2053,127.14845049130764
REGION1,SEBMCSPN2,2054,127.14845049130764
REGION1,SEBMCSPN2,2055,127.14845049130764
REGION1,SEBMCSPN2,2056,127.14845049130764
REGION1,SEBMCSPN2,2057,127.14845049130764
REGION1,SEBMCSPN2,2058,127.14845049130764
REGION1,SEBMCSPN2,2059,127.14845049130764
REGION1,SEBMCSPN2,2060,127.14845049130764
REGION1,SEBMSTPH3,2015,77.20426381
REGION1,SEBMSTPH3,2016,76.64616070000001
REGION1,SEBMSTPH3,2017,76.08805759
REGION1,SEBMSTPH3,2018,75.52995448
REGION1,SEBMSTPH3,2019,74.97185136
REGION1,SEBMSTPH3,2020,74.41374825
REGION1,SEBMSTPH3,2021,74.16570242
REGION1,SEBMSTPH3,2022,73.9176566
REGION1,SEBMSTPH3,2023,73.66961077
REGION1,SEBMSTPH3,2024,73.42156494
REGION1,SEBMSTPH3,2025,73.17351911
REGION1,SEBMSTPH3,2026,72.92547329
REGION1,SEBMSTPH3,2027,72.67742746
REGION1,SEBMSTPH3,2028,72.42938163
REGION1,SEBMSTPH3,2029,72.1813358
REGION1,SEBMSTPH3,2030,71.93328998
REGION1,SEBMSTPH3,2031,71.68524415
